Time (s),Channel 2 (V)
3.117099990999909e-05,1.973988846677222
3.120099990999911e-05,1.975320433144483
3.12309999099991e-05,1.975653329761299
3.12609999099991e-05,1.974987536527668
3.12909999099991e-05,1.973988846677222
3.13209999099991e-05,1.975653329761299
3.13509999099991e-05,1.974987536527668
3.138099990999909e-05,1.974654639910852
3.141099990999911e-05,1.975653329761299
3.14409999099991e-05,1.975320433144483
3.14709999099991e-05,1.975986226378114
3.15009999099991e-05,1.975320433144483
3.15309999099991e-05,1.975653329761299
3.15609999099991e-05,1.975320433144483
3.159099990999909e-05,1.975986226378114
3.16209999099991e-05,1.975653329761299
3.16509999099991e-05,1.975986226378114
3.16809999099991e-05,1.97631912299493
3.17109999099991e-05,1.976984916228561
3.17409999099991e-05,1.97631912299493
3.177099990999909e-05,1.976652019611745
3.180099990999911e-05,1.97631912299493
3.18309999099991e-05,1.976984916228561
3.18609999099991e-05,1.976652019611745
3.18909999099991e-05,1.977983606079007
3.19209999099991e-05,1.977317812845376
3.19509999099991e-05,1.976984916228561
3.198099990999909e-05,1.977650709462192
3.201099990999911e-05,1.977650709462192
3.20409999099991e-05,1.977983606079007
3.20709999099991e-05,1.977983606079007
3.21009999099991e-05,1.977983606079007
3.21309999099991e-05,1.977317812845376
3.21609999099991e-05,1.978316502695823
3.219099990999909e-05,1.977317812845376
3.222099990999911e-05,1.976984916228561
3.22509999099991e-05,1.978316502695823
3.22809999099991e-05,1.9799809857799
3.23109999099991e-05,1.978316502695823
3.23409999099991e-05,1.978316502695823
3.23709999099991e-05,1.978649399312638
3.240099990999909e-05,1.978316502695823
3.243099990999911e-05,1.979315192546269
3.24609999099991e-05,1.976984916228561
3.24909999099991e-05,1.978649399312638
3.25209999099991e-05,1.979315192546269
3.25509999099991e-05,1.977983606079007
3.25809999099991e-05,1.978649399312638
3.261099990999909e-05,1.978649399312638
3.264099990999911e-05,1.978982295929454
3.26709999099991e-05,1.978316502695823
3.27009999099991e-05,1.979315192546269
3.27309999099991e-05,1.978316502695823
3.27609999099991e-05,1.978982295929454
3.27909999099991e-05,1.978649399312638
3.282099990999909e-05,1.978649399312638
3.28509999099991e-05,1.978649399312638
3.28809999099991e-05,1.978316502695823
3.29109999099991e-05,1.978982295929454
3.29409999099991e-05,1.977983606079007
3.29709999099991e-05,1.978649399312638
